PdID,SolutionID,Status,""
ADLN081/ ASL / ASL Auto (RDL),1,N/A,""
ADLN081/ ASL / ASL Auto (RDL),2,N/A,""
ADLN081/ ASL / ASL Auto (RDL),3,N/A,""
ADLN081/ ASL / ASL Auto (RDL),4,N/A,""
ADLN081/ ASL / ASL Auto (RDL),5,N/A,""
ADLN081/ ASL / ASL Auto (RDL),6,N/A,""
ADLN081/ ASL / ASL Auto (RDL),7,N/A,""
ADLN081/ ASL / ASL Auto (RDL),8,N/A,""
ADLN081/ ASL / ASL Auto (RDL),9,N/A,""
ADLN081/ ASL / ASL Auto (RDL),10,N/A,""
ADLN081/ ASL / ASL Auto (RDL),11,N/A,""
ADLN081/ ASL / ASL Auto (RDL),12,N/A,""
ADLN081/ ASL / ASL Auto (RDL),13,N/A,""
ADLN081/ ASL / ASL Auto (RDL),14,N/A,""
ADLN081/ ASL / ASL Auto (RDL),15,N/A,""
ADLN081/ ASL / ASL Auto (RDL),16,N/A,""
ADLN081/ ASL / ASL Auto (RDL),17,N/A,""
ADLN081/ ASL / ASL Auto (RDL),18,N/A,""
ADLM282,1,On hold,""
ADLM282,2,N/A,""
ADLM282,3,N/A,""
ADLM282,4,N/A,""
ADLM282,5,N/A,""
ADLM282,6,N/A,""
ADLM282,7,N/A,""
ADLM282,8,N/A,""
ADLM282,9,N/A,""
ADLM282,10,N/A,""
ADLM282,11,N/A,""
ADLM282,12,N/A,""
ADLM282,13,N/A,""
ADLM282,14,N/A,""
ADLM282,15,N/A,""
ADLM282,16,N/A,""
ADLM282,17,N/A,""
ADLM282,18,N/A,""
